タイトル,巻数,著者・編者,出版年,出版機関・出版社
堀之内花ノ木遺跡,第2分冊,愛知県埋蔵文化財センター,19940330,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
清洲城下町遺跡,4(本文編),愛知県埋蔵文化財センター,19940331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
清洲城下町遺跡,4(資料編),愛知県埋蔵文化財センター,19940331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
清洲城下町遺跡,5,愛知県埋蔵文化財センター,19950331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
貴生町遺跡2・3・月縄手遺跡2,,愛知県埋蔵文化財センター,19940331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
黒笹40・89号古窯跡・黒笹G2号古窯跡・立楠古窯跡,,愛知県埋蔵文化財センター,19940331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
牛ノ松遺跡,,愛知県埋蔵文化財センター,19950331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
島田陣屋遺跡,,愛知県埋蔵文化財センター,19950331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
吉田城遺跡,2,愛知県埋蔵文化財センター,19950331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
名古屋城三の丸遺跡,5,愛知県埋蔵文化財センター,19950331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
広坪遺跡,,愛知県埋蔵文化財センター,19960830,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
川地遺跡,,愛知県埋蔵文化財センター,19950330,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
烏帽子遺跡,1,愛知県埋蔵文化財センター,19960830,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
刀池古窯跡群,,愛知県埋蔵文化財センター,19950330,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
清洲城下町遺跡,6,愛知県埋蔵文化財センター,19960830,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
大毛沖遺跡,,愛知県埋蔵文化財センター,19960830,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
北道手遺跡,,愛知県埋蔵文化財センター,19960830,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
儀長正楽寺遺跡,,愛知県埋蔵文化財センター,19960830,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
鳥羽城跡,,愛知県埋蔵文化財センター,19960830,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
清洲城下町遺跡,7,愛知県埋蔵文化財センター,19970829,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
田所遺跡,,愛知県埋蔵文化財センター,19970829,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
大毛池田遺跡,,愛知県埋蔵文化財センター,19970831,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
西上免遺跡,,愛知県埋蔵文化財センター,19970831,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
大縄遺跡,,愛知県埋蔵文化財センター,19960830,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
円通寺古墓・NA335号窯1・2,,愛知県埋蔵文化財センター,19980831,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
東新規道遺跡,,愛知県埋蔵文化財センター,19980831,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
東苅安賀道遺跡,,愛知県埋蔵文化財センター,19980831,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
吉田城遺跡,3,愛知県埋蔵文化財センター,19980831,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
一色青海遺跡,,愛知県埋蔵文化財センター,19980831,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
門間沼遺跡,,愛知県教育サービスセンター愛知県埋蔵文化財センター,19990831,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
細口下1号窯・鴻ノ巣古窯・高針原1号窯,,愛知県教育サービスセンター愛知県埋蔵文化財センター,19990831,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
毛受遺跡,,愛知県教育サービスセンター愛知県埋蔵文化財センター,19990831,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
朝日遺跡,6(本文・図版),愛知県教育サービスセンター愛知県埋蔵文化財センター,20000831,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
馬引横手遺跡,,愛知県教育サービスセンター愛知県埋蔵文化財センター,19990831,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
森岡第1号窯跡群,,愛知県埋蔵文化財センター,19990831,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
大脇城遺跡,1,愛知県教育サービスセンター愛知県埋蔵文化財センター,19990831,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
三ツ井遺跡,,愛知県教育サービスセンター愛知県埋蔵文化財センター,19990831,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
下津北山遺跡,,愛知県教育サービスセンター愛知県埋蔵文化財センター,20000831,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
岩作城跡・能見城跡,,愛知県埋蔵文化財センター,20000930,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
志賀公園遺跡,1,愛知県教育サービスセンター愛知県埋蔵文化財センター,20010831,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
川原遺跡,,愛知県教育サービスセンター愛知県埋蔵文化財センター,20010831,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
八王子遺跡,,愛知県教育サービスセンター愛知県埋蔵文化財センター,20020331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
苅安賀遺跡,,愛知県教育サービスセンター愛知県埋蔵文化財センター,20010831,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
岡島遺跡3・大毛池田遺跡2,,愛知県教育サービスセンター愛知県埋蔵文化財センター,20010831,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
牛牧遺跡,,愛知県教育サービスセンター愛知県埋蔵文化財センター,20010831,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
天神前遺跡,,愛知県教育サービスセンター愛知県埋蔵文化財センター,20010831,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
大脇城遺跡,2,愛知県教育サービスセンター愛知県埋蔵文化財センター,20010831,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
郷上遺跡,,愛知県教育サービスセンター愛知県埋蔵文化財センター,20020831,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
清洲城下町遺跡,8,愛知県教育サービスセンター愛知県埋蔵文化財センター,20020831,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
本川遺跡,,愛知県教育サービスセンター愛知県埋蔵文化財センター,20030831,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
平手町遺跡,,愛知県教育サービスセンター愛知県埋蔵文化財センター,20020831,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
矢迫遺跡,,愛知県教育サービスセンター愛知県埋蔵文化財センター,20020831,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
川田遺跡,,愛知県教育サービスセンター愛知県埋蔵文化財センター,20020831,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
寄元古墳群・上ノ段遺跡,,愛知県教育サービスセンター愛知県埋蔵文化財センター,20020831,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
今町遺跡,1,愛知県教育サービスセンター愛知県埋蔵文化財センター,20020831,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
西川原古墳,,愛知県教育サービスセンター愛知県埋蔵文化財センター,20020331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
猫島遺跡,,愛知県教育サービスセンター愛知県埋蔵文化財センター,20030831,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
水入遺跡,,愛知県教育サービスセンター愛知県埋蔵文化財センター,20050831,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
鶯窯跡,,愛知県教育サービスセンター愛知県埋蔵文化財センター,20050831,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
権現山遺跡,,愛知県教育サービスセンター愛知県埋蔵文化財センター,20030831,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
木戸城遺跡・古新田遺跡,,愛知県教育サービスセンター愛知県埋蔵文化財センター,20030831,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
八王子遺跡,,愛知県教育サービスセンター愛知県埋蔵文化財センター,20030831,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
東端城跡・御船城跡・矢並下本城跡,,愛知県教育サービスセンター愛知県埋蔵文化財センター,20030331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
石堂野B遺跡,,愛知県教育サービスセンター愛知県埋蔵文化財センター,20030831,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
名古屋城三の丸遺跡,6,愛知県教育サービスセンター愛知県埋蔵文化財センター,20030331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
凧山屋敷遺跡,,愛知県教育サービスセンター愛知県埋蔵文化財センター,20030831,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
烏帽子遺跡,2,愛知県教育サービスセンター愛知県埋蔵文化財センター,20031031,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
巡間E窯跡,,愛知県教育サービスセンター愛知県埋蔵文化財センター,20030831,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
金萩遺跡,,愛知県教育サービスセンター愛知県埋蔵文化財センター,20040831,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
上中・西屋敷遺跡,,愛知県教育サービスセンター愛知県埋蔵文化財センター,20040831,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
志賀公園遺跡,2,愛知県教育サービスセンター愛知県埋蔵文化財センター,20040831,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
城山城跡,,愛知県教育サービスセンター愛知県埋蔵文化財センター,20050831,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
四池A古窯,,愛知県教育サービスセンター愛知県埋蔵文化財センター,20040831,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
宇トゲ窯跡・中洞窯跡,,愛知県教育サービスセンター愛知県埋蔵文化財センター,20040831,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
吉野遺跡,,愛知県教育サービスセンター愛知県埋蔵文化財センター,20040831,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
長谷口遺跡,,愛知県教育サービスセンター愛知県埋蔵文化財センター,20040831,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
名古屋城三の丸遺跡,7,愛知県教育サービスセンター愛知県埋蔵文化財センター,20050331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
荒山古墳群,,愛知県教育サービスセンター愛知県埋蔵文化財センター,20040831,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
I-G-2号窯跡,,愛知県教育サービスセンター愛知県埋蔵文化財センター,20050331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
南木戸遺跡,,愛知県教育サービスセンター愛知県埋蔵文化財センター,20050331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
清洲城下町遺跡,9,愛知県教育サービスセンター愛知県埋蔵文化財センター,20050831,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
上品野遺跡,,愛知県教育サービスセンター愛知県埋蔵文化財センター,20050831,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
NA311号窯,,愛知県教育サービスセンター愛知県埋蔵文化財センター,20050831,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
凧山C窯跡・惣作鐘場遺跡1,,愛知県教育サービスセンター愛知県埋蔵文化財センター,20050831,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
瓶子窯跡,,愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター,20060331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
小針遺跡,,愛知県教育サービスセンター愛知県埋蔵文化財センター,20050831,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
奥町F古窯群,,愛知県教育サービスセンター愛知県埋蔵文化財センター,20050831,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
朝日遺跡,7(第1分冊 遺構・第2分冊 出土遺物・第3分冊 総括),愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター,20070331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
島崎遺跡・伝法寺本郷遺跡・中之郷北遺跡,,愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター,20060331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
三カ所遺跡・西田面遺跡,,愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター,20080331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
伝法寺野田遺跡,,愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター,20070300,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
上品野蟹川遺跡,,愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター,20080331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
高坂遺跡,,愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター,20080331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
下懸遺跡,,愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター,20090331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
上橋下遺跡・鹿乗川流域遺跡群,,愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター,20070331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
高木遺跡,,愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター,20070331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
一色青海遺跡,2,愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター,20080331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
清洲城下町遺跡・朝日遺跡 ,10,愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター,20210331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
細田古窯群,,愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター,20080331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
惣作鐘場遺跡,2,愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター,20080331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
万徳峠窯跡・川合D窯跡,,愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター,20090331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
夏敷古窯跡・蛇廻間古窯跡,,愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター,20070331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
桜鐘古窯群,,愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター,20060300,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
朝日遺跡,8(本文編・写真図版編・総集編),愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター,20090331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
牛寺遺跡,,愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター,20080331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
須ヶ谷遺跡・西海塚遺跡・山王遺跡,,愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター,20080331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
大坪西遺跡,,愛知県埋蔵文化財センター,20090331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
惣作遺跡,1,愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター,20090331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
下津新町遺跡,,愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター,20090331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
西松山峠窯跡,,愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター,20090331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
名古屋城三の丸遺跡,8,愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター,20080331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
今町遺跡,2,愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター,20090331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
K-G-93号窯跡,,愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター,20100331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
桑下東窯跡,,愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター,20110331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
西浦遺跡,,愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター,20110331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
羽根遺跡,,愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター,20100331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
御山寺遺跡,,愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター,20110331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
姫下遺跡,,愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター,20120331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
塚原1号窯跡・若宮1号墳・山口堰堤3号墳,,愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター,20120331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
上品野E窯跡,,愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター,20110331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
長野北浦遺跡・塔の越遺跡,,愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター,20120331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
惣作遺跡,2,愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター,20120331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
上品野西金地遺跡,,愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター,20130331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
西牧野遺跡,,愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター,20130331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
下津宿遺跡,,愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター,20130331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
柿下遺跡,,愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター,20120331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
日置本郷B遺跡,,愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター,20120331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
東中田A古窯,,愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター,20130331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
町屋遺跡,,愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター,20130331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
滝町古窯,,愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター,20130331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
桑下城跡,,愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター,20130331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
松崎遺跡2・上浜田遺跡,,愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター,20140331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
清洲城下町遺跡,11,愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター,20130331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
須長10号墳,,愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター,20140331,（公財）愛知県教育・スポーツ振興財団愛知県埋蔵文化財センター
