タイトル,巻数,著者・編者,出版元,出版年
"筑前須玖史前時代遺跡の研究
 (京都帝国大学文学部考古学研究報告第11冊 昭和3年-昭和5年)",11,"島田貞彦著
京都帝国大学文学部考古学教室編",刀江書院,1930
"讃岐高松石清尾山石塚の研究
 (京都帝国大学文学部考古学研究報告第12冊)",12,"梅原末治著
京都帝国大学文学部考古学教室編",刀江書院,1933
"新羅古瓦の研究
 (京都帝国大学文学部考古学研究報告第13冊)",13,"浜田耕作,梅原末治著
京都帝国大学文学部考古学教室編",刀江書院,1934
"大和島庄石舞薹の巨石古墳 / 濱田耕作
石舞薹古墳の巨石運搬法並に其の築造法 / 高橋逸夫
日本古墳巨大石室聚成 ; 日本方形古墳聚成 / 梅原末治著
 (京都帝国大学文学部考古学研究報告第14冊).",14,"濱田耕作,高橋逸夫,梅原末治著
京都帝国大学文学部考古学教室編",桑名文星堂,1937
"筑前國嘉穗郡王塚装飾古墳 / 梅原末治, 小林行雄著
 (京都帝国大学文学部考古学研究報告第15冊)",15,"梅原末治, 小林行雄著
京都帝国大学文学部考古学教室編",桑名文星堂,1940
"大和唐古彌生式遺跡の研究 / 末永雅雄, 小林行雄, 藤岡謙二郎著
 (京都帝国大学文学部考古学研究報告第16冊)",16,"末永雅雄, 小林行雄, 藤岡謙二郎著
京都帝国大学文学部考古学教室編",桑名文星堂,1943
"東京大学蔵版　文学部考古学研究室蒐集品考古図編,1953",13,東京大学,東京大学,1953
"東京大学蔵版　文学部考古学研究室蒐集品考古図編,1960",18,東京大学,東京大学,1960
"下總姥山に於ける石器時代遺跡 : 貝塚と其の貝層下発見の住居址 
東京帝国大学理学部　人類学教室研究報告　第五編",,松村瞭、八幡一郎、小金井良精著,東京帝国大学,1932
人類學論叢 : 人類學雑誌五百號記念,,東京人類學階會編,岡書院,1929
文化財要覧,昭和26年版,文化財保護委員会,文化財保護委員会,1952
日本貝塚の研究,,清野謙次著,岩波書店,1969
日本原始纎維工藝史,土俗篇,杉山寿栄男著,雄山閣,1942
発掘調査の手引き,,文化庁文化財部,財団法人 国土地理教会,2006
埋蔵文化財発掘調査の手びき,,文化財保護委員会,財団法人 国土地理教会,1966
"文化財保護提要. -- 第一法規, 1970.1.",第1巻 法規編,,,1970
"文化財保護提要. -- 第一法規, 1970.1.",第1巻 法規編,,,1970
"文化財保護提要. -- 第一法規, 1970.1.",第2巻 判例・資料編,,,1970
"先縄文・縄文時代 / 八幡一郎編
 (世界考古学大系 / 浅野清 [ほか] 編 ; 第1巻 . 日本 ; 1)",1,"八幡一郎編
浅野清 [ほか] 編 ",平凡社,1959
"弥生時代 / 杉原荘介編
(世界考古学大系 / 浅野清 [ほか] 編 ; 第2巻 . 日本 ; 2)",2,"杉原荘介編
浅野清 [ほか] 編 ",平凡社,1960
"古墳時代 / 小林行雄編
 (世界考古学大系 / 浅野清 [ほか] 編 ; 第3巻 . 日本 ; 3)",3,"小林行雄編
浅野清 [ほか] 編 ",平凡社,1959
"歴史時代 / 浅野清, 小林行雄編
(世界考古学大系 / 浅野清 [ほか] 編 ; 第4巻 . 日本 ; 4)",4,"浅野清, 小林行雄編
浅野清 [ほか] 編 ",平凡社,1961
"先史時代 / 関野雄編
(世界考古学大系 / 浅野清 [ほか] 編 ; 第5巻 . 東アジア ; 1)",1,"関野雄編
浅野清 [ほか] 編 ",平凡社,1960
"殷周時代 / 水野清一編
 (世界考古学大系 / 浅野清 [ほか] 編 ; 第6巻 . 東アジア ; 2)",2,"水野清一編
浅野清 [ほか] 編 ",平凡社,1958
"漢・南北朝・隋・唐時代 / 駒井和愛編
 (世界考古学大系 / 浅野清 [ほか] 編 ; 第7巻 . 東アジア ; 3)",3,"駒井和愛編
浅野清 [ほか] 編 ",平凡社,1959
"南アジア / 水野清一編
 (世界考古学大系 / 浅野清 [ほか] 編 ; 第8巻)",8,"水野清一編
浅野清 [ほか] 編 ",平凡社,1961
"北方ユーラシア・中央アジア / 角田文衛編
 (世界考古学大系 / 浅野清 [ほか] 編 ; 第9巻)",9,"角田文衛編
浅野清 [ほか] 編 ",平凡社,1962
"西アジア1 前第3千年紀まで / 江上波夫編 
(世界考古学大系 / 浅野清 [ほか] 編 ; 第10-11巻)",10,"江上波夫編 
浅野清 [ほか] 編 ",平凡社,1959
"西アジア2 前第2千年紀以後ササン朝ペルシアまで/ 江上波夫編
 (世界考古学大系 / 浅野清 [ほか] 編 ; 第10-11巻)",11,"江上波夫編
浅野清 [ほか] 編 ",平凡社,1962
"先史時代 / 江上波夫, 樋口隆康編
 (世界考古学大系 / 浅野清 [ほか] 編 ; 第12巻 . ヨーロッパ・アフリカ ; 1)",12,"江上波夫, 樋口隆康編
浅野清 [ほか] 編 ",平凡社,1961
"エジプト・エーゲ / 新規矩男, 村田数之亮編
 (世界考古学大系 / 浅野清 [ほか] 編 ; 第13巻 . ヨーロッパ・アフリカ ; 2)",13,"新規矩男, 村田数之亮編
浅野清 [ほか] 編 ",平凡社,1960
"ギリシア・ローマ / 角田文衛編
 (世界考古学大系 / 浅野清 [ほか] 編 ; 第14巻 . ヨーロッパ・アフリカ ; 3)",14,"角田文衛編
浅野清 [ほか] 編 ",平凡社,1960
"アメリカ・オセアニア / 石田英一郎, 泉靖一編
 (世界考古学大系 / 浅野清 [ほか] 編 ; 第15巻)",15,"石田英一郎, 泉靖一編
浅野清 [ほか] 編 ",平凡社,1959
"研究法・索引 / 江上波夫, 水野清一編
(世界考古学大系 / 浅野清 [ほか] 編 ; 第16巻)",16,"江上波夫, 水野清一編
浅野清 [ほか] 編 ",平凡社,1962
「世界考古学大系」日本編補遺抜粋,,芹沢長介、小林達雄、渡辺誠、佐原真、都出比呂志他,天山舎,1987
世界考古学地図,,"デーヴィッド・ホワイトハウス,ルース・ホワイトハウス著 ; 蔵持不三也訳",原書房,1984
日本考古学用語辞典,,斎藤忠著,学生社,1992
日本古墳大辞典,,"大塚初重, 小林三郎, 熊野正也編",東京堂出版,1989
日本考古学文献総覧,,斎藤忠著,学生社,1997
日本考古学史年表,,斎藤忠著,学生社,1993
"藤原宮阯傳説地高殿の調査1 / 足立康[ほか著]
 (日本古文化研究所報告2)",2,足立康[ほか著],日本古文化研究所,1936
"阿蘭陀風説書の研究 / 板澤武雄著
 (日本古文化研究所報告3)",3,板澤武雄著,日本古文化研究所,1937
"近畿地方古墳墓の調査 第二 / 梅原末治[編]
 (日本古文化研究所報告4)",4,梅原末治[編] ,日本古文化研究所,1937
"薬師寺伽藍の研究 / 足立康[著]
 (日本古文化研究所報告5)",5,足立康[著],日本古文化研究所,1937
"怡土城阯の調査 / 鏡山猛[著]
 (日本古文化研究所報告6)",6,鏡山猛[著],日本古文化研究所,1937
"雪野寺阯発掘調査報告 / 柏倉亮吉[著]
 (日本古文化研究所報告7)",7,柏倉亮吉[著],日本古文化研究所,1937
"法隆寺西圓堂奉納武器 / 末永雅雄[著]
 (日本古文化研究所報告8)",8,末永雅雄[著],日本古文化研究所,1938
"近畿地方古墳墓の調査 第三 / 梅原末治[編]
 (日本古文化研究所報告9)",9,梅原末治[編],日本古文化研究所,1938
"西都原古墳の調査 / 濱田耕作, 原田仁[共著]
 (日本古文化研究所報告10)",10,"濱田耕作, 原田仁[共著]",日本古文化研究所,1940
"藤原宮阯傳説地高殿の調査2 / 足立康[ほか著]
 (日本古文化研究所報告11)",11,足立康[ほか著],日本古文化研究所,1941
支那文化史跡解説,11,関野貞、常盤大定著,法蔵館,1940
支那文化史跡解説,12,関野貞、常盤大定著,法蔵館,1941
評註津田宗及茶湯日記,他會篇 上,松山米太郎評註,津田宗及茶湯日記刊行後援會,1937
評註津田宗及茶湯日記,他會篇 下,松山米太郎評註,津田宗及茶湯日記刊行後援會,1937
日本石器時代文献目録,,中谷治宇二郎著,有明書房,1986
東洋史料集成,,平凡社 [編],平凡社,1956
歴史学・考古学に関する27年間の雑誌文献目録, 昭和23年-昭和49年,日外アソシエーツ「雑誌文献目録」編集部編,日外アソシエーツ,1982
歴史学・考古学に関する10年間の雑誌文献目録,昭和50年ー昭和59年,日外アソシエーツ編,日外アソシエーツ,1987
文化人類学・民俗学に関する10年間の雑誌文献目録,昭和50年〜昭和59年,日外アソシエーツ編,日外アソシエーツ,1987
新日本史年表,,西岡虎之助編,中央公論社,1955
歐亞紀元合表,,張璜[撰],大安,1968
古墳辞典,,"大塚初重, 小林三郎編",東京堂出版,1982
日本古代遺跡便覧,,網干善教[ほか]編輯,社会思想社,1973
日本学術資料総目録朝日出版社,1983年度版 : 美術工芸篇, [朝日出版社]「日本学術資料総目録」編集部 [編] ,朝日出版社,1982
三正綜覧 [復刻版],,内務省地理局編,地人書館,1965
【日本の旧石器文化】 総論編,1,麻生優[ほか]編,雄山閣出版,1975
【日本の旧石器文化】 遺跡と遺物 上,2,麻生優[ほか]編,雄山閣出版,1975
【日本の旧石器文化】 遺跡と遺物 下,3,麻生優[ほか]編,雄山閣出版,1976
【日本の旧石器文化】 日本周辺の旧石器文化,4,麻生優[ほか]編,雄山閣出版,1976
【日本の旧石器文化】 旧石器文化の研究法,5,麻生優[ほか]編,雄山閣出版,1976
【縄文文化の研究】 縄文人とその環境,1,"加藤晋平, 小林達雄, 藤本強編集",雄山閣出版,1982
【縄文文化の研究】 生業,2,"加藤晋平, 小林達雄, 藤本強編集",雄山閣出版,1983
【縄文文化の研究】 縄文土器1,3,"加藤晋平, 小林達雄, 藤本強編集",雄山閣出版,1981
【縄文文化の研究】 縄文土器2,4,"加藤晋平, 小林達雄, 藤本強編集",雄山閣出版,1981
【縄文文化の研究】 縄文土器3 ,5,"加藤晋平, 小林達雄, 藤本強編集",雄山閣出版,1983
【縄文文化の研究】 続縄文・南島文化,6,"加藤晋平, 小林達雄, 藤本強編集",雄山閣出版,1982
【縄文文化の研究】 道具と技術,7,"加藤晋平, 小林達雄, 藤本強編集",雄山閣出版,1982
【縄文文化の研究】 社会・文化,8,"加藤晋平, 小林達雄, 藤本強編集",雄山閣出版,1982
【縄文文化の研究】 縄文人の精神文化,9,"加藤晋平, 小林達雄, 藤本強編集",雄山閣出版,1983
【縄文文化の研究】 縄文時代研究史,10,"加藤晋平, 小林達雄, 藤本強編集",雄山閣出版,1984
【弥生文化の研究】 弥生人とその環境,1,"永井昌文 [ほか] 編
金関恕, 佐原眞編 ",雄山閣出版,1989
【弥生文化の研究】 生業,2,"金関恕, 佐原眞編 ",雄山閣出版,1988
【弥生文化の研究】 弥生土器1,3,"金関恕, 佐原眞編 ",雄山閣出版,1986
【弥生文化の研究】 弥生土器2,4,"金関恕, 佐原眞編 ",雄山閣出版,1987
【弥生文化の研究】 道具と技術1,5,"金関恕, 佐原眞編 ",雄山閣出版,1985
【弥生文化の研究】 道具と技術2,6,"金関恕, 佐原眞編 ",雄山閣出版,1986
【弥生文化の研究】 弥生集落,7,"金関恕, 佐原眞編 ",雄山閣出版,1986
【弥生文化の研究】 祭と墓と装い,8,"金関恕, 佐原眞編 ",雄山閣出版,1987
【弥生文化の研究】 弥生人の世界,9,"金関恕, 佐原眞編 ",雄山閣出版,1986
【弥生文化の研究】 研究の歩み,10,"金関恕, 佐原眞編 ",雄山閣出版,1988
【古墳時代の研究】 集落と豪族居館,2,石野博信 [ほか] 編,雄山閣出版,1990
【古墳時代の研究】 生活と祭祀,3,石野博信 [ほか] 編,雄山閣,1991
【古墳時代の研究】 生産と流通1,4,石野博信 [ほか] 編,雄山閣,1991
【古墳時代の研究】 生産と流通2,5,石野博信 [ほか] 編,雄山閣,1991
【古墳時代の研究】 土師器と須恵器,6,石野博信 [ほか] 編,雄山閣,1991
【古墳時代の研究】 墳丘と内部構造,7,石野博信 [ほか] 編,雄山閣,1992
【古墳時代の研究】 副葬品,8,石野博信 [ほか] 編,雄山閣,1991
【古墳時代の研究】 埴輪,9,石野博信 [ほか] 編,雄山閣,1992
【古墳時代の研究】 地域の古墳1 西日本,10,石野博信 [ほか] 編,雄山閣,1990
【古墳時代の研究】 地域の古墳2 東日本,11,石野博信 [ほか] 編,雄山閣,1990
【古墳時代の研究】 古墳の造られた時代,12,石野博信 [ほか] 編,雄山閣,1992
【古墳時代の研究】 東アジアの中の古墳文化,13,石野博信 [ほか] 編,雄山閣,1993
"縄文土器と貝塚
 (古代史発掘2：繩文時代1)",2,江坂輝彌編,講談社,1973
"土偶芸術と信仰
 (古代史発掘3：縄文時代2)",3,"江坂輝彌, 野口義麿編",講談社,1974
"稲作の始まり
 (古代史発掘4：弥生時代1)",4,"佐原眞, 金関恕編",講談社,1975
"大陸文化と青銅器
 (古代史発掘5：弥生時代2)",5,樋口隆康編,講談社,1974
"古墳と国家の成立ち
 (古代史発掘6：古墳時代1)",6,小野山節編,講談社,1975
"埴輪と石の造形 
 (古代史発掘7：古墳時代2)",7,村井嵓雄編,講談社,1974
"装飾古墳と文様
 (古代史発掘8：古墳時代3)",8,乙益重隆編,講談社,1974
"埋れた宮殿と寺
 (古代史発掘9：歴史時代1)",9,"坪井清足, 鈴木嘉吉編",講談社,1974
"都とむらの暮し
 (古代史発掘10： 歴史時代2)",10,"楢崎彰一, 横山浩一編",講談社,1974
Haniwa : the clay sculpture of protohistoric Japan,,"by Fumio Miki
English adaptation by Roy Andrew Miller","C.E. Tuttle Company
講談社",1960
美術工芸品の保存と保管,,"田邊三郎助, 登石健三監修",フジ・テクノシステム,1994
遺跡 : 今と昔 : 写真集,,斎藤忠著,学生社,1997
"考古資料
 (国宝・重要文化財大全9)",,"文化庁監修 
[毎日新聞社]第二図書編集部編集",毎日新聞社,1997
日本考古学用語英訳辞典《稿本》　,,"山本忠尚,松井章編",奈良国立文化財研究所,1988
日本地名事典 総索引,総索引,中野尊正 [ほか] 編,朝倉書店,1956
旧石器考古学辞典,,旧石器文化談話会編,学生社,2000
現代考古学事典,,安斎正人編,同成社,2004
日本土器事典,,"大川清, 鈴木公雄, 工楽善通編",雄山閣,1996
日本古代遺跡事典,,"大塚初重, 桜井清彦, 鈴木公雄編",吉川弘文館,1995
縄文時代研究事典,,戸沢充則編,東京堂出版,1994
日本考古学事典　,,"田中琢, 佐原真編",三省堂,2002
図解考古学辞典,,"水野清一, 小林行雄編",東京創元社,1959
図解考古学辞典,,"水野清一, 小林行雄編",東京創元社,1959
日本考古学小辞典,,"江坂輝彌, 芹沢長介, 坂詰秀一編",ニュー・サイエンス社,1983
和英対照　日本考古学用語辞典,,山本忠尚著,東京美術,2001
日本考古学辞典,,日本考古学協会編,東京堂,1962
図説江戸考古学研究事典,,江戸遺跡研究会編,柏書房,2001
日本古代道路事典,,古代交通研究会編,八木書店,2004
大日本金石史 附図,附図,木崎愛吉編 ,好尚会出版部,1921
世界考古学事典　上,上,下中邦彦編,平凡社,1979
世界考古学事典　下,下,下中邦彦編,平凡社,1979
図説・世界古代遺跡地図,0,ジャケッタ・ホークス編 ; 桜井清彦監訳,原書房,1984
前方後円墳集成,東北・関東編,近藤義郎編集,山川出版社,1994
前方後円墳集成,中部編,近藤義郎編集,山川出版社,1992
前方後円墳集成,近畿編,近藤義郎編集,山川出版社,1992
前方後円墳集成,中国・四国編,近藤義郎編集,山川出版社,1991
前方後円墳集成,九州編,近藤義郎編集,山川出版社,1992
前方後円墳集成,補遺編,近藤義郎編集,山川出版社,2000
聖書考古学大事典,,M. アヴィ・ヨナ [ほか] 編 ; 小川英雄 [ほか] 訳,講談社,1984
歴史考古学大辞典,,小野正敏 [ほか] 編,吉川弘文館,2007
【図説発掘が語る日本史】 北海道・東北編,1,林謙作編,新人物往来社,1986
【図説発掘が語る日本史】 関東・甲信越編,2,小林達雄編,新人物往来社,1986
【図説発掘が語る日本史】 東海・北陸編 ,3,河原純之編,新人物往来社,1986
【図説発掘が語る日本史】 東海・北陸編,3,河原純之編,新人物往来社,1986
【図説発掘が語る日本史】 近畿編,4,水野正好編,新人物往来社,1985
【図説発掘が語る日本史】 中国・四国編,5,近藤喬一編,新人物往来社,1986
【図説発掘が語る日本史】 九州・沖縄編,6,横山浩一編,新人物往来社,1986
【図説発掘が語る日本史】 整備・復原された遺跡,別巻,"河原純之, 安原啓示編",新人物往来社,1986
伊場遺跡発掘調査報告書　第一冊,1,,,
伊場遺跡発掘調査報告書　第二冊,2,,,
伊場遺跡発掘調査報告書　第三冊,3,,,
伊場遺跡発掘調査報告書　第四冊,4,,,
伊場遺跡発掘調査報告書　第五冊,5,,,
伊場遺跡発掘調査報告書　第八冊,8,,,
多賀城漆紙文書,,,,
日本古代木簡選,,木簡学会編,岩波書店,1990
飛鳥藤原京木簡Ⅰ,1,,,
"藤原宮木簡1  
 (奈良国立文化財研究所史料第12冊, 第12冊別冊)",1,奈良国立文化財研究所編,奈良国立文化財研究所,1978
"藤原宮木簡2 解説
 (奈良国立文化財研究所史料第18冊, 第18冊別冊)",2,奈良国立文化財研究所編,奈良国立文化財研究所,1981
"平城宮木簡1 解説
(奈良国立文化財研究所史料第5冊, 第5冊別冊)",1,奈良国立文化財研究所編,奈良国立文化財研究所,1966-
"平城宮木簡2 解説
(奈良国立文化財研究所史料第8冊, 第8冊別冊)",2,奈良国立文化財研究所編,奈良国立文化財研究所,1966-
"平城宮木簡3 解説
(奈良国立文化財研究所史料第17冊, 第17冊別冊)",3,奈良国立文化財研究所編,奈良国立文化財研究所,1966-
"平城宮木簡4 解説
(奈良国立文化財研究所史料第28冊, 第28冊別冊)",4,奈良国立文化財研究所編,奈良国立文化財研究所,1966-
長岡京　木簡一,1,,,
長岡京　木簡二,2,,,
木器集成図録　,近畿古代篇,,,
木器集成図録　,近畿原始篇（解説）,,,
木器集成図録　,近畿原始篇,,,
東京国立博物館所蔵　骨角器集成,1,,,
東京国立博物館所蔵　骨角器集成２,2,,,
日本考古学史資料集成　江戸時代,1,斎藤忠編著,吉川弘文館,1979
日本考古学史資料集成　明治時代１,2,斎藤忠編著,吉川弘文館,1979
日本考古学史資料集成　明治時代２,3,斎藤忠編著,吉川弘文館,1979
日本石器時代植物性遺物圖録,,"喜田貞吉, 杉山壽榮男著",喜田貞吉,1932
秦鏡と漢六朝鏡,古鏡聚英　上篇,後藤守一編著,大塚巧藝社,1942
隋唐鏡より和鏡,古鏡聚英　下篇,後藤守一編著,大塚巧藝社,1935
"古鏡図鑑
黒川古文化研究所　所蔵品図集第一冊",,,黒川古文化研究所,1951
装飾古墳,,日下八光著,朝日新聞社,1967
高松塚 : 壁画古墳 : 調査中間報告,,橿原考古学研究所編集,奈良県教育委員会,
新沢千塚126号墳 ,,橿原考古学研究所編.,奈良県教育委員会,1977
北九州古文化図鑑　第二輯の図版,,,,
日本の洞穴遺跡,,日本考古学協会洞穴遺跡調査特別委員会編,平凡社,1967
三角縁神獣鏡の研究　【別刷】,,小林行雄著,,
山内清男・先史考古学論文集,,山内清男著,,1967-1969
原史學序論 : 考古學的方法による歴史學確立への試論,,杉原荘介著,葦牙書房,1943
日本石器時代綜合文献目録,,"岡本勇, 麻生優編",山岡書店,1958
日本考古学図鑑,,斎藤忠著,吉川弘文館,1955
鏡と劔と玉 : 全,,高橋健自著,冨山房,1911
鏡劔及玉の研究,,考古學會編,吉川弘文館,1940
日本貝塚地名表,,酒詰仲男著,土曜会,1959
泉屋清賞 -- 刪訂,,住友吉左衛門,住友吉左衛門,1934
日本美術の特質,,矢代幸雄著,岩波書店,1943
印度未開民族,,三森定男著,日光書院,1943
考古學研究法,,モンテリウス著 ; 濱田耕作譯,荻原星文館,1943
考古学講座-- 新版,第1巻　通論 上,,雄山閣出版,1968
考古学講座-- 新版,第2巻　通論 下,,雄山閣出版,1970
考古学講座-- 新版,"第4巻　原史文化：上　
弥生文化",,雄山閣出版,1969
考古学講座-- 新版,"第5巻　原史文化：下　
古墳文化",,雄山閣出版,1970
考古学講座-- 新版,"第6巻　有史文化：上　
遺跡・遺構",,雄山閣出版,1970
考古学講座-- 新版,"第7巻　有史文化：下　
遺物",,雄山閣出版,1970
考古学講座-- 新版,"第8巻　特論：上　
祭祀・信仰",,雄山閣出版,1971
考古学講座-- 新版,"第9巻　特論：中
生産技術・交通・交易",,雄山閣出版,1971
考古学講座-- 新版,"第10巻　特論：下　
考古学の歴史・実際的研究",,雄山閣出版,1971
考古学講座-- 新版,"第11巻　別巻
主要遺跡要覧・索引",,雄山閣出版,1972
本山考古室目録,,末永雅雄編,岡書院,1934
富民協会農業博物館本山考古室圖録,,末永雅雄編,岡書院,1933
日本原始繪畫,,高橋健自著,大岡山書店,1927
日本考古学の諸問題 : 考古学研究会十周年記念論文集,,考古学研究会十周年記念論文集編集委員会編,考古学研究会十周年記念論文集刊行委員会,1964
日本先土器時代の研究,,杉原荘介著,講談社,1974
年代測定法,,木越邦彦著,紀伊國屋書店,1965
石上神宮寶物誌,,石上神宮編,石上神宮,1929
造像銘記  -- 改訂版,,考古學會編,考古学会,1936
日本の梵鐘,,坪井良平著,角川書店,1970
佛教考古學論叢,考古學評論：第3輯,東京考古學會編,桑名文星堂,1941
日本文化の黎明,考古學評論：第4輯,東京考古學會編,葦牙書房,1941
慶長末年以前の梵鐘,東京考古學會學報：第2册,坪井良平著,東京考古學會,1939
天平文化史論 (寧樂10 特輯號),[正],,寧樂發行所,1928
天平文化史論 (寧樂10 特輯號),別卷,,寧樂發行所,1928
觀音乃研究 (寧樂13 特輯號),,,寧樂發行所,1930
東大寺現存遺物銘記及文様 (寧樂14),,,寧樂發行所,1931
正倉院薬物を中心とする古代石薬の研究,正倉院の鉱物　第1,益富寿之助著,日本礦物趣味の会,1958
祭祀遺蹟 : 神道考古学の基礎的研究,,大場磐雄著,角川書店,1970
仏教考古学講座 -- 新版,第1巻　総論,石田茂作ほか執筆,雄山閣出版,1975
仏教考古学講座 -- 新版,第2巻　寺院,石田茂作ほか執筆,雄山閣出版,1975
仏教考古学講座 -- 新版,第3巻　塔・塔婆,石田茂作ほか執筆,雄山閣出版,1976
仏教考古学講座 -- 新版,第4巻　仏像,石田茂作ほか執筆,雄山閣出版,1976
仏教考古学講座 -- 新版,第5巻　仏具,石田茂作ほか執筆,雄山閣出版,1976
仏教考古学講座 -- 新版,第6巻　経典・経塚,石田茂作ほか執筆,雄山閣出版,1977
仏教考古学講座 -- 新版,第7巻　墳墓,石田茂作ほか執筆,雄山閣出版,1975
法隆寺の研究史,,村田治郎著,毎日新聞社,1949
古鏡,本文,樋口隆康著,新潮社,1979
古鏡,図録,樋口隆康著,新潮社,1979
日本農耕社会の形成(日本史学研究叢書),,杉原荘介著,吉川弘文館,1977
日本歴史考古学論叢,,日本歴史考古学会編,吉川弘文館,1966
日本歴史考古學,,後藤守一著,四海書房,1937
日本農耕文化の生成,第1冊 本文篇,日本考古学協会編,東京堂,1961
日本農耕文化の生成,第2冊 図録篇,日本考古学協会編,東京堂,1960
日本中部山地に於ける縄文早期文化の研究,上,八幡一郎著,慶友社,1972
日本中部山地に於ける縄文早期文化の研究,中,八幡一郎著,慶友社,1978
扶桑紀年銘鏡圖説 (大阪市立美術館学報　第１),,大阪市立美術館編,大阪市,1938
繩文文化遺物集成 : 風韻堂収蔵庫 ,,大高興著,,1969
日本考古資料寫眞集,,考古學會編,考古學會,1912
東京帝室博物館講演集,第1冊,,帝室博物館,1925
東京帝室博物館講演集,第3冊,,帝室博物館,1926
東京帝室博物館講演集,第5冊,,帝室博物館,1931
東京帝室博物館講演集,第7冊,,帝室博物館,1932
管内農具図 : 明治十三年調べ 長崎県佐賀県における農具図録,,"月川雅夫, 立平進編・著",長崎出版文化協会,1984
日本の考古学,第1巻　先土器時代,杉原荘介編,河出書房,1965
日本の考古学,第2巻　繩文時代,鎌木義昌編,河出書房,1965
日本の考古学,第3巻　弥生時代,和島誠一編,河出書房,1966
